醫事機構代碼,醫事機構名稱,醫事機構地址,經度,緯度,醫事機構電話,廠牌項目,快篩試劑截至目前結餘存貨數量,來源資料時間,備註
2331200010,新北市坪林區衛生所,新北市坪林區坪林街１０４號,121.7095,24.93592,(02)26656272,羅氏家用新冠病毒抗原自我檢測套組,281,2022/04/28 14:00:33,防疫口罩販售服務時間，星期一至五09:00-12:00 。（倘若遇政府規定補班日，仍會提供販售口罩服務）
2331260016,新北市貢寮區衛生所,新北市貢寮區朝陽街７０巷１０號、新北市貢寮區仁愛路１２８號,121.9095,25.02258,(02)24901431,羅氏家用新冠病毒抗原自我檢測套組,234,2022/04/28 14:00:33,星期一至星期日上午8點購買防疫口罩，售完為止.
2331290014,新北市烏來區衛生所,新北市烏來區新烏路５段１０９號,121.548,24.87197,(02)26617200,羅氏家用新冠病毒抗原自我檢測套組,296,2022/04/28 14:00:33,無
2333120015,新竹縣峨眉鄉衛生所,新竹縣峨眉鄉峨眉村峨眉街２鄰５號,121.0214,24.68842,(03)5800314,羅氏家用新冠病毒抗原自我檢測套組,234,2022/04/28 14:00:33,本所星期三下午中醫門診，4月8日（五）下午眼科，販賣口罩上午12時至13時止，國定及例假日不賣口罩
2333140017,新竹縣五峰鄉衛生所,新竹縣五峰鄉大隘村六鄰９９號,121.1194,24.63184,(03)5851005,羅氏家用新冠病毒抗原自我檢測套組,239,2022/04/28 14:00:33,無
2334110013,宜蘭縣大同鄉衛生所,宜蘭縣大同鄉崙埤村朝陽４０號,121.6088,24.67785,(03)9801175,羅氏家用新冠病毒抗原自我檢測套組,25,2022/04/28 14:00:33,防疫口罩販賣時間本所（週一到週六）8:20-10:20  衛生室販賣時間為星期一、二、四、五下午，詳細事項請至本所網站查詢.
2335110017,苗栗縣南庄鄉衛生所,苗栗縣南庄鄉東村大同路１７號,121,24.59733,(037)822024,羅氏家用新冠病毒抗原自我檢測套組,234,2022/04/28 14:00:33,口罩販賣時段:週一至週五上午8:00~下午5:00
2335150011,苗栗縣造橋鄉衛生所,苗栗縣造橋鄉造橋村１４鄰８－２號,120.8643,24.63672,(037)542755,羅氏家用新冠病毒抗原自我檢測套組,234,2022/04/28 14:00:33,口罩販賣時段：08:30-售完（含假日）
2335170013,苗栗縣獅潭鄉衛生所,苗栗縣獅潭鄉新店村１３０之６號,120.9201,24.53961,(037)931309,羅氏家用新冠病毒抗原自我檢測套組,234,2022/04/28 14:00:33,口罩販賣時段：08:30-16:00
2335180019,苗栗縣泰安鄉衛生所,苗栗縣泰安鄉清安村２鄰７２號,120.9083,24.44722,(037)941054,羅氏家用新冠病毒抗原自我檢測套組,236,2022/04/28 14:00:33,口罩販賣時段：星期一~五：8:30~15：00。
2336210034,臺中市和平區梨山衛生所,臺中市和平區中正路１２號１樓、６８號１樓,121.2592,24.25678,(04)25989540,羅氏家用新冠病毒抗原自我檢測套組,274,2022/04/28 14:00:33,提供24小時急診待診服務，109年6月1日起，口罩販售時段為周一至周五0900-12:00
